lambda,returns
0.0,-0.03701991445856404
0.001,-0.036965871091614526
0.002,-0.03691182772466503
0.003,-0.036857784357715515
0.004,-0.036803740990766026
0.005,-0.036749697623816524
0.006,-0.03669565425686701
0.007,-0.03664161088991749
0.008,-0.036587567522968
0.009000000000000001,-0.03653352415601848
0.01,-0.03647948078906901
0.011,-0.03642543742211948
0.012,-0.036371394055169974
0.013000000000000001,-0.03631735068822045
0.014,-0.03626330732127098
0.015,-0.03620926395432149
0.016,-0.036155220587371965
0.017,-0.03610117722042246
0.018000000000000002,-0.036047133853472954
0.019,-0.03599309048652344
0.02,-0.035939047119573964
0.021,-0.03588500375262446
0.022,-0.035830960385674945
0.023,-0.03577691701872543
0.024,-0.03572287365177594
0.025,-0.03566883028482644
0.026000000000000002,-0.03561478691787694
0.027,-0.03556074355092743
0.028,-0.035506700183977905
0.029,-0.03545265681702842
0.03,-0.03539861345007889
0.031,-0.035344570083129405
0.032,-0.03529052671617991
0.033,-0.03523648334923039
0.034,-0.03518243998228089
0.035,-0.0351283966153314
0.036000000000000004,-0.03507435324838186
0.037,-0.03502030988143237
0.038,-0.03496626651448287
0.039,-0.034912223147533374
0.04,-0.03485817978058386
0.041,-0.03480413641363435
0.042,-0.03475009304668485
0.043000000000000003,-0.03469604967973536
0.044,-0.03464200631278584
0.045,-0.034587962945836326
0.046,-0.03453391957888684
0.047,-0.03447987621193733
0.048,-0.03442583284498781
0.049,-0.034371789478038324
0.05,-0.03431774611108883
0.051000000000000004,-0.03426370274413931
0.052000000000000005,-0.0342096593771898
0.053,-0.03415561601024032
0.054,-0.034101572643290806
0.055,-0.03404752927634132
0.056,-0.033993485909391816
0.057,-0.0339394425424423
0.058,-0.0338853991754928
0.059000000000000004,-0.03383135580854328
0.06,-0.03377731244159378
0.061,-0.03372326907464428
0.062,-0.033669225707694775
0.063,-0.03361518234074527
0.064,-0.03356113897379576
0.065,-0.03350709560684627
0.066,-0.033453052239896766
0.067,-0.033399008872947264
0.068,-0.03334496550599776
0.069,-0.033290922139048246
0.07,-0.03323687877209874
0.07100000000000001,-0.03318283540514924
0.07200000000000001,-0.03312879203819974
0.073,-0.03307474867125024
0.074,-0.033020705304300735
0.075,-0.03296666193735123
0.076,-0.03291261857040173
0.077,-0.032858575203452214
0.078,-0.032804531836502684
0.079,-0.032750488469553224
0.08,-0.03269644510260368
0.081,-0.03264240173565419
0.082,-0.0325883583687047
0.083,-0.03253431500175519
0.084,-0.03248027163480568
0.085,-0.03242622826785618
0.08600000000000001,-0.03237218490090667
0.08700000000000001,-0.03231814153395718
0.088,-0.03226409816700766
0.089,-0.032210054800058154
0.09,-0.03215601143310866
0.091,-0.032101968066159156
0.092,-0.032047924699209654
0.093,-0.031993881332260166
0.094,-0.03193983796531065
0.095,-0.031885794598361106
0.096,-0.031831751231411645
0.097,-0.03177770786446214
0.098,-0.03172366449751263
0.099,-0.031669621130563125
0.1,-0.031615577763613595
0.101,-0.0315615343966641
0.10200000000000001,-0.03150749102971459
0.10300000000000001,-0.0314534476627651
0.10400000000000001,-0.0313994042958156
0.105,-0.03134536092886609
0.106,-0.03129131756191658
0.107,-0.031237274194967087
0.108,-0.03118323082801758
0.109,-0.03112918746106809
0.11,-0.031075144094118573
0.111,-0.031021100727169067
0.112,-0.030967057360219544
0.113,-0.030913013993270042
0.114,-0.030858970626320547
0.115,-0.03080492725937106
0.116,-0.030750883892421543
0.117,-0.030696840525472047
0.11800000000000001,-0.03064279715852254
0.11900000000000001,-0.030588753791573036
0.12,-0.030534710424623534
0.121,-0.030480667057674035
0.122,-0.030426623690724536
0.123,-0.030372580323775003
0.124,-0.0303185369568255
0.125,-0.030264493589876006
0.126,-0.030210450222926503
0.127,-0.03015640685597698
0.128,-0.0301023634890275
0.129,-0.030048320122077986
0.13,-0.029994276755128477
0.131,-0.029940233388178986
0.132,-0.02988619002122949
0.133,-0.02983214665427998
0.134,-0.029778103287330472
0.135,-0.029724059920380963
0.136,-0.02967001655343147
0.137,-0.02961597318648195
0.138,-0.02956192981953246
0.139,-0.029507886452582965
0.14,-0.02945384308563345
0.14100000000000001,-0.02939979971868395
0.14200000000000002,-0.02934575635173446
0.14300000000000002,-0.02929171298478494
0.14400000000000002,-0.029237669617835443
0.145,-0.029183626250885927
0.146,-0.02912958288393643
0.147,-0.02907553951698691
0.148,-0.029021496150037407
0.149,-0.028967452783087908
0.15,-0.0289134094161384
0.151,-0.02885936604918889
0.152,-0.028805322682239367
0.153,-0.028751279315289896
0.154,-0.028697235948340373
0.155,-0.028643192581390895
0.156,-0.028589149214441376
0.157,-0.028535105847491866
0.158,-0.02848106248054236
0.159,-0.028427019113592873
0.16,-0.028372975746643363
0.161,-0.028318932379693858
0.162,-0.028264889012744345
0.163,-0.02821084564579484
0.164,-0.02815680227884534
0.165,-0.028102758911895846
0.166,-0.02804871554494633
0.167,-0.02799467217799683
0.168,-0.027940628811047325
0.169,-0.02788658544409781
0.17,-0.02783254207714832
0.171,-0.027778498710198822
0.17200000000000001,-0.027724455343249306
0.17300000000000001,-0.02767041197629981
0.17400000000000002,-0.027616368609350298
0.17500000000000002,-0.027562325242400793
0.176,-0.0275082818754513
0.177,-0.0274542385085018
0.178,-0.027400195141552293
0.179,-0.027346151774602777
0.18,-0.02729210840765328
0.181,-0.027238065040703766
0.182,-0.02718402167375426
0.183,-0.027129978306804768
0.184,-0.027075934939855252
0.185,-0.027021891572905746
0.186,-0.026967848205956258
0.187,-0.02691380483900674
0.188,-0.026859761472057243
0.189,-0.026805718105107745
0.19,-0.02675167473815825
0.191,-0.02669763137120873
0.192,-0.026643588004259228
0.193,-0.026589544637309726
0.194,-0.026535501270360216
0.195,-0.02648145790341071
0.196,-0.026427414536461226
0.197,-0.026373371169511706
0.198,-0.0263193278025622
0.199,-0.0262652844356127
0.2,-0.026211241068663203
0.201,-0.026157197701713705
0.202,-0.0261031543347642
0.203,-0.026049110967814683
0.20400000000000001,-0.025995067600865177
0.20500000000000002,-0.025941024233915665
0.20600000000000002,-0.025886980866966176
0.20700000000000002,-0.02583293750001667
0.20800000000000002,-0.02577889413306716
0.209,-0.02572485076611766
0.21,-0.025670807399168136
0.211,-0.025616764032218655
0.212,-0.02556272066526915
0.213,-0.02550867729831964
0.214,-0.025454633931370145
0.215,-0.025400590564420632
0.216,-0.02534654719747112
0.217,-0.02529250383052164
0.218,-0.025238460463572105
0.219,-0.025184417096622606
0.22,-0.025130373729673104
0.221,-0.02507633036272361
0.222,-0.0250222869957741
0.223,-0.0249682436288246
0.224,-0.024914200261875102
0.225,-0.024860156894925583
0.226,-0.024806113527976095
0.227,-0.02475207016102656
0.228,-0.024698026794077062
0.229,-0.024643983427127567
0.23,-0.02458994006017808
0.231,-0.02453589669322856
0.232,-0.024481853326279057
0.233,-0.024427809959329555
0.234,-0.02437376659238004
0.23500000000000001,-0.02431972322543054
0.23600000000000002,-0.024265679858481055
0.23700000000000002,-0.024211636491531532
0.23800000000000002,-0.024157593124582037
0.23900000000000002,-0.024103549757632535
0.24,-0.024049506390683026
0.241,-0.023995463023733517
0.242,-0.023941419656784015
0.243,-0.02388737628983452
0.244,-0.023833332922885003
0.245,-0.023779289555935515
0.246,-0.023725246188986
0.247,-0.023671202822036507
0.248,-0.023617159455086984
0.249,-0.023563116088137492
0.25,-0.023509072721187987
0.251,-0.02345502935423848
0.252,-0.02340098598728898
0.253,-0.02334694262033948
0.254,-0.023292899253389957
0.255,-0.023238855886440476
0.256,-0.02318481251949096
0.257,-0.02313076915254146
0.258,-0.023076725785591952
0.259,-0.023022682418642443
0.26,-0.022968639051692955
0.261,-0.022914595684743435
0.262,-0.022860552317793922
0.263,-0.02280650895084442
0.264,-0.02275246558389492
0.265,-0.022698422216945426
0.266,-0.022644378849995914
0.267,-0.022590335483046405
0.268,-0.02253629211609691
0.269,-0.022482248749147407
0.27,-0.022428205382197895
0.271,-0.022374162015248396
0.272,-0.02232011864829888
0.273,-0.02226607528134938
0.274,-0.022212031914399872
0.275,-0.022157988547450373
0.276,-0.022103945180500878
0.277,-0.02204990181355138
0.278,-0.02199585844660186
0.279,-0.02194181507965238
0.28,-0.021887771712702852
0.281,-0.02183372834575335
0.28200000000000003,-0.021779684978803865
0.28300000000000003,-0.021725641611854352
0.28400000000000003,-0.02167159824490484
0.28500000000000003,-0.021617554877955338
0.28600000000000003,-0.02156351151100582
0.28700000000000003,-0.021509468144056326
0.28800000000000003,-0.02145542477710683
0.289,-0.021401381410157332
0.29,-0.02134733804320781
0.291,-0.021293294676258324
0.292,-0.0212392513093088
0.293,-0.02118520794235931
0.294,-0.021131164575409807
0.295,-0.02107712120846028
0.296,-0.021023077841510786
0.297,-0.020969034474561277
0.298,-0.020914991107611774
0.299,-0.02086094774066229
0.3,-0.02080690437371277
0.301,-0.020752861006763275
0.302,-0.020698817639813752
0.303,-0.020644774272864264
0.304,-0.02059073090591474
0.305,-0.02053668753896526
0.306,-0.020482644172015743
0.307,-0.020428600805066248
0.308,-0.02037455743811674
0.309,-0.02032051407116723
0.31,-0.02026647070421772
0.311,-0.020212427337268232
0.312,-0.020158383970318727
0.313,-0.020104340603369224
0.314,-0.020050297236419698
0.315,-0.019996253869470213
0.316,-0.01994221050252071
0.317,-0.0198881671355712
0.318,-0.019834123768621696
0.319,-0.019780080401672194
0.32,-0.019726037034722685
0.321,-0.019671993667773193
0.322,-0.01961795030082368
0.323,-0.019563906933874182
0.324,-0.019509863566924676
0.325,-0.019455820199975174
0.326,-0.019401776833025665
0.327,-0.01934773346607617
0.328,-0.019293690099126654
0.329,-0.01923964673217715
0.33,-0.019185603365227656
0.331,-0.019131559998278147
0.332,-0.01907751663132864
0.333,-0.019023473264379157
0.334,-0.018969429897429627
0.335,-0.01891538653048013
0.336,-0.018861343163530622
0.337,-0.01880729979658113
0.338,-0.01875325642963161
0.339,-0.018699213062682105
0.34,-0.0186451696957326
0.341,-0.01859112632878311
0.342,-0.0185370829618336
0.343,-0.01848303959488409
0.34400000000000003,-0.01842899622793458
0.34500000000000003,-0.018374952860985082
0.34600000000000003,-0.018320909494035566
0.34700000000000003,-0.018266866127086084
0.34800000000000003,-0.018212822760136582
0.34900000000000003,-0.018158779393187066
0.35000000000000003,-0.01810473602623756
0.35100000000000003,-0.018050692659288062
0.352,-0.017996649292338567
0.353,-0.017942605925389064
0.354,-0.017888562558439552
0.355,-0.017834519191490046
0.356,-0.017780475824540527
0.357,-0.017726432457591042
0.358,-0.017672389090641533
0.359,-0.01761834572369203
0.36,-0.01756430235674251
0.361,-0.017510258989793023
0.362,-0.017456215622843524
0.363,-0.01740217225589401
0.364,-0.017348128888944513
0.365,-0.017294085521995014
0.366,-0.017240042155045494
0.367,-0.017185998788095992
0.368,-0.017131955421146476
0.369,-0.01707791205419698
0.37,-0.017023868687247482
0.371,-0.016969825320297983
0.372,-0.016915781953348467
0.373,-0.016861738586398972
0.374,-0.01680769521944947
0.375,-0.01675365185249996
0.376,-0.01669960848555047
0.377,-0.016645565118600963
0.378,-0.016591521751651454
0.379,-0.01653747838470195
0.38,-0.016483435017752422
0.381,-0.016429391650802937
0.382,-0.01637534828385343
0.383,-0.01632130491690393
0.384,-0.016267261549954427
0.385,-0.016213218183004915
0.386,-0.0161591748160554
0.387,-0.016105131449105914
0.388,-0.01605108808215641
0.389,-0.015997044715206903
0.39,-0.015943001348257387
0.391,-0.015888957981307884
0.392,-0.01583491461435839
0.393,-0.015780871247408887
0.394,-0.015726827880459388
0.395,-0.015672784513509876
0.396,-0.015618741146560356
0.397,-0.01556469777961086
0.398,-0.015510654412661366
0.399,-0.015456611045711874
0.4,-0.015402567678762344
0.401,-0.015348524311812856
0.402,-0.015294480944863346
0.403,-0.015240437577913834
0.404,-0.015186394210964342
0.405,-0.015132350844014833
0.406,-0.015078307477065317
0.40700000000000003,-0.015024264110115822
0.40800000000000003,-0.014970220743166316
0.40900000000000003,-0.01491617737621682
0.41000000000000003,-0.014862134009267308
0.41100000000000003,-0.014808090642317816
0.41200000000000003,-0.0147540472753683
0.41300000000000003,-0.014700003908418802
0.41400000000000003,-0.014645960541469303
0.41500000000000004,-0.01459191717451979
0.41600000000000004,-0.014537873807570281
0.417,-0.014483830440620772
0.418,-0.01442978707367129
0.419,-0.014375743706721771
0.42,-0.014321700339772266
0.421,-0.014267656972822763
0.422,-0.014213613605873275
0.423,-0.014159570238923763
0.424,-0.01410552687197426
0.425,-0.014051483505024751
0.426,-0.013997440138075228
0.427,-0.013943396771125733
0.428,-0.013889353404176241
0.429,-0.013835310037226732
0.43,-0.013781266670277237
0.431,-0.01372722330332772
0.432,-0.013673179936378226
0.433,-0.013619136569428713
0.434,-0.013565093202479214
0.435,-0.013511049835529716
0.436,-0.0134570064685802
0.437,-0.013402963101630687
0.438,-0.013348919734681188
0.439,-0.013294876367731679
0.44,-0.013240833000782198
0.441,-0.013186789633832682
0.442,-0.013132746266883176
0.443,-0.013078702899933653
0.444,-0.013024659532984168
0.445,-0.012970616166034666
0.446,-0.012916572799085167
0.447,-0.012862529432135665
0.448,-0.012808486065186156
0.449,-0.01275444269823664
0.45,-0.012700399331287145
0.451,-0.012646355964337625
0.452,-0.012592312597388126
0.453,-0.012538269230438614
0.454,-0.012484225863489119
0.455,-0.012430182496539613
0.456,-0.01237613912959011
0.457,-0.012322095762640609
0.458,-0.01226805239569112
0.459,-0.012214009028741604
0.46,-0.012159965661792095
0.461,-0.012105922294842593
0.462,-0.01205187892789309
0.463,-0.011997835560943582
0.464,-0.011943792193994086
0.465,-0.01188974882704457
0.466,-0.011835705460095079
0.467,-0.011781662093145559
0.468,-0.011727618726196074
0.46900000000000003,-0.011673575359246562
0.47000000000000003,-0.01161953199229706
0.47100000000000003,-0.011565488625347557
0.47200000000000003,-0.011511445258398055
0.47300000000000003,-0.011457401891448546
0.47400000000000003,-0.011403358524499047
0.47500000000000003,-0.011349315157549542
0.47600000000000003,-0.011295271790600026
0.47700000000000004,-0.01124122842365053
0.47800000000000004,-0.011187185056701035
0.47900000000000004,-0.011133141689751526
0.48,-0.011079098322802027
0.481,-0.011025054955852518
0.482,-0.010971011588903026
0.483,-0.010916968221953503
0.484,-0.010862924855004001
0.485,-0.010808881488054499
0.486,-0.010754838121104997
0.487,-0.010700794754155488
0.488,-0.010646751387205985
0.489,-0.010592708020256483
0.49,-0.01053866465330697
0.491,-0.010484621286357479
0.492,-0.01043057791940797
0.493,-0.010376534552458471
0.494,-0.010322491185508965
0.495,-0.010268447818559456
0.496,-0.010214404451609947
0.497,-0.010160361084660452
0.498,-0.01010631771771095
0.499,-0.01005227435076144
0.5,-0.009998230983811935
0.501,-0.00994418761686243
0.502,-0.00989014424991293
0.503,-0.009836100882963425
0.504,-0.009782057516013916
0.505,-0.00972801414906442
0.506,-0.009673970782114898
0.507,-0.00961992741516541
0.508,-0.009565884048215897
0.509,-0.009511840681266391
0.51,-0.009457797314316896
0.511,-0.009403753947367394
0.512,-0.009349710580417885
0.513,-0.009295667213468386
0.514,-0.009241623846518873
0.515,-0.009187580479569368
0.516,-0.009133537112619876
0.517,-0.009079493745670374
0.518,-0.00902545037872085
0.519,-0.008971407011771355
0.52,-0.00891736364482184
0.521,-0.008863320277872344
0.522,-0.008809276910922842
0.523,-0.00875523354397334
0.524,-0.008701190177023827
0.525,-0.008647146810074328
0.526,-0.00859310344312482
0.527,-0.008539060076175324
0.528,-0.008485016709225829
0.529,-0.008430973342276316
0.53,-0.008376929975326804
0.531,-0.008322886608377301
0.532,-0.0082688432414278
0.533,-0.008214799874478304
0.534,-0.008160756507528802
0.535,-0.00810671314057929
0.536,-0.008052669773629787
0.537,-0.007998626406680278
0.538,-0.00794458303973078
0.539,-0.00789053967278127
0.54,-0.007836496305831754
0.541,-0.007782452938882262
0.542,-0.007728409571932764
0.543,-0.0076743662049832476
0.544,-0.007620322838033752
0.545,-0.007566279471084243
0.546,-0.007512236104134741
0.547,-0.007458192737185235
0.548,-0.007404149370235747
0.549,-0.0073501060032862275
0.55,-0.0072960626363367115
0.551,-0.007242019269387216
0.552,-0.0071879759024377245
0.553,-0.007133932535488212
0.554,-0.00707988916853871
0.555,-0.007025845801589197
0.556,-0.0069718024346396915
0.557,-0.006917759067690189
0.558,-0.006863715700740687
0.559,-0.0068096723337911745
0.56,-0.00675562896684169
0.561,-0.006701585599892177
0.562,-0.0066475422329426714
0.5630000000000001,-0.006593498865993173
0.5640000000000001,-0.0065394554990436705
0.5650000000000001,-0.006485412132094161
0.5660000000000001,-0.006431368765144659
0.5670000000000001,-0.006377325398195143
0.5680000000000001,-0.0063232820312456445
0.5690000000000001,-0.006269238664296146
0.5700000000000001,-0.00621519529734664
0.5710000000000001,-0.006161151930397138
0.5720000000000001,-0.006107108563447636
0.5730000000000001,-0.00605306519649812
0.5740000000000001,-0.0059990218295486245
0.5750000000000001,-0.005944978462599115
0.5760000000000001,-0.005890935095649603
0.577,-0.0058368917287001144
0.578,-0.005782848361750612
0.579,-0.005728804994801103
0.58,-0.0056747616278515975
0.581,-0.005620718260902106
0.582,-0.0055666748939526
0.583,-0.005512631527003091
0.584,-0.005458588160053592
0.585,-0.005404544793104076
0.586,-0.0053505014261545775
0.587,-0.005296458059205065
0.588,-0.005242414692255573
0.589,-0.005188371325306071
0.59,-0.005134327958356555
0.591,-0.005080284591407049
0.592,-0.0050262412244575436
0.593,-0.004972197857508052
0.594,-0.004918154490558543
0.595,-0.0048641111236090405
0.596,-0.004810067756659535
0.597,-0.004756024389710026
0.598,-0.004701981022760534
0.599,-0.004647937655811014
0.6,-0.004593894288861526
0.601,-0.0045398509219120205
0.602,-0.004485807554962501
0.603,-0.004431764188013013
0.604,-0.00437772082106349
0.605,-0.0043236774541139875
0.606,-0.004269634087164499
0.607,-0.004215590720214997
0.608,-0.004161547353265474
0.609,-0.004107503986315972
0.61,-0.004053460619366473
0.611,-0.003999417252416974
0.612,-0.003945373885467469
0.613,-0.00389133051851797
0.614,-0.0038372871515684505
0.615,-0.003783243784618962
0.616,-0.003729200417669446
0.617,-0.0036751570507199405
0.618,-0.0036211136837704452
0.619,-0.003567070316820943
0.62,-0.003513026949871434
0.621,-0.0034589835829219283
0.622,-0.0034049402159724157
0.623,-0.003350896849022924
0.624,-0.0032968534820734113
0.625,-0.003242810115123916
0.626,-0.003188766748174407
0.627,-0.003134723381224898
0.628,-0.0030806800142753957
0.629,-0.0030266366473258935
0.63,-0.0029725932803763913
0.631,-0.0029185499134268787
0.632,-0.00286450654647738
0.633,-0.0028104631795278744
0.634,-0.002756419812578372
0.635,-0.00270237644562887
0.636,-0.002648333078679354
0.637,-0.0025942897117298518
0.638,-0.0025402463447803565
0.639,-0.002486202977830844
0.64,-0.0024321596108813452
0.641,-0.0023781162439318465
0.642,-0.0023240728769823443
0.643,-0.0022700295100328317
0.644,-0.0022159861430833365
