Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,4057808,OR,L'Oreal SA,3350292,"$990,710,673.64 ",0.230888573,Personal Products,FR,---
,6076146,WBC,Westpac Banking Corp.,57651226,"$984,501,731.15 ",0.229441557,Diversified Banks,AU,---
,B288C92,IBE,Iberdrola SA,95241805,"$981,525,398.54 ",0.228747913,Electric Utilities,ES,---
,B1G1QD8,1398,Industrial & Commercial Bank of China Ltd.,1263958436,"$975,180,713.60 ",0.227269262,Diversified Banks,CN,---
,5983816,ZURN,Zurich Insurance Group AG,2348581,"$963,386,943.11 ",0.224520682,Multi-line Insurance,CH,---
,6171900,HDFC,Housing Development Finance Corp. Ltd.,27823363,"$940,776,171.56 ",0.219251163,Thrifts & Mortgage Finance,IN,---
,870612,LLOY,Lloyds Banking Group plc,1128907291,"$935,217,580.36 ",0.217955714,Diversified Banks,GB,---
,B1YXBJ7,AI,Air Liquide SA,6486805,"$919,644,039.62 ",0.214326246,Industrial Gases,FR,---
,6870445,4502,Takeda Pharmaceutical Co. Ltd.,22863397,"$904,298,165.64 ",0.210749837,Pharmaceuticals,JP,---
,7088429,CS,AXA SA,30957457,"$874,745,586.88 ",0.203862506,Multi-line Insurance,FR,---
,4834108,SU,Schneider Electric SE,8450600,"$868,216,271.08 ",0.202340826,Electrical Components & Equipment,FR,---
,5842359,DTE,Deutsche Telekom AG,52086323,"$851,208,121.91 ",0.198377017,Integrated Telecommunication Services,DE,---
,BH4HKS3,VOD,Vodafone Group plc,433491729,"$841,575,332.60 ",0.196132062,Wireless Telecommunication Services,GB,---
,2092599,BAM.A,Brookfield Asset Management Inc. Class A,14482043,"$836,770,002.15 ",0.195012163,Asset Management & Custody Banks,CA,---
,B1XH026,DG,Vinci SA,7491330,"$834,340,306.72 ",0.194445914,Construction & Engineering,FR,---
,B24CGK7,RB.,Reckitt Benckiser Group plc,10148620,"$824,362,442.86 ",0.192120538,Household Products,GB,---
,6248990,9433,KDDI Corp.,27602543,"$823,559,782.26 ",0.191933476,Wireless Telecommunication Services,JP,---
,B058TZ6,SAF,Safran SA,5322159,"$822,060,959.61 ",0.19158417,Aerospace & Defense,FR,---
