Stocks holdings ,,,,,,,,,
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of funds*,Sector,Market,Security depository receipt type
,2254645,GIL,Gildan Activewear Inc.,3253077,"$96,173,136.21 ",0.022413484,"Apparel, Accessories & Luxury Goods",CA,---
,BYT1DJ1,ICP,Intermediate Capital Group plc,4507022,"$96,130,648.77 ",0.022403582,Asset Management & Custody Banks,GB,---
,B17KC69,F34,Wilmar International Ltd.,31355400,"$96,063,527.67 ",0.02238794,Agricultural Products,SG,---
,B63DG21,PZU,Powszechny Zaklad Ubezpieczen SA,9074471,"$95,839,533.77 ",0.022335737,Multi-line Insurance,PL,---
,7187627,LUPE,Lundin Petroleum AB,2821693,"$95,809,021.66 ",0.022328626,Oil & Gas Exploration & Production,SE,---
,6125286,4704,Trend Micro Inc./Japan,1868707,"$95,621,422.97 ",0.022284906,Systems Software,JP,---
,6867748,19,Swire Pacific Ltd. Class A,10276010,"$95,460,979.43 ",0.022247514,Diversified Real Estate Activites,HK,---
,6499550,4151,Kyowa Kirin Co. Ltd.,4050272,"$95,425,880.28 ",0.022239334,Pharmaceuticals,JP,---
,B1KKBX6,ELUX B,Electrolux AB Class B,3875568,"$95,274,422.57 ",0.022204036,Household Appliances,SE,---
,BK9X805,KINV B,Kinnevik AB,3883400,"$95,162,844.97 ",0.022178032,Multi-Sector Holdings,SE,---
,B03Z841,K,Kinross Gold Corp.,20042929,"$95,078,697.50 ",0.022158422,Gold,CA,---
,604316,MRW,Wm Morrison Supermarkets plc,35651152,"$94,410,600.21 ",0.022002719,Food Retail,GB,---
,BJ2ZH37,IAG,iA Financial Corp. Inc.,1717911,"$94,365,709.16 ",0.021992257,Life & Health Insurance,CA,---
,6458001,ORI,Orica Ltd.,6118655,"$94,353,258.08 ",0.021989355,Commodity Chemicals,AU,---
,6250025,6383,Daifuku Co. Ltd.,1553174,"$93,865,879.39 ",0.02187577,Industrial Machinery,JP,---
,2956662,WN,George Weston Ltd.,1182577,"$93,819,323.51 ",0.02186492,Food Retail,CA,---
,7339451,ORP,Orpea,728028,"$93,402,762.74 ",0.021767839,Health Care Facilities,FR,---
,B1359J0,PTTEP-F,PTT Exploration & Production PCL (Foreign),22471884,"$93,265,815.69 ",0.021735923,Oil & Gas Exploration & Production,TH,---
,6141011,2382,Quanta Computer Inc.,43301468,"$93,016,479.84 ",0.021677815,"Technology Hardware, Storage & Periphera",TW,---
,6559335,728,China Telecom Corp. Ltd.,225451576,"$92,883,531.60 ",0.021646831,Integrated Telecommunication Services,CN,---
,6984380,2327,Yageo Corp.,6362561,"$92,696,142.53 ",0.021603159,Electronic Components,TW,---
,6641588,4021,Nissan Chemical Corp.,2213372,"$92,691,186.05 ",0.021602004,Diversified Chemicals,JP,---
,6704986,2912,President Chain Store Corp.,9126309,"$92,674,682.95 ",0.021598158,Food Retail,TW,---
,6180412,CPU,Computershare Ltd.,7844118,"$92,482,004.25 ",0.021553253,Data Processing & Outsourced Services,AU,---
,6537030,3550,LG Corp.,1450204,"$92,403,384.61 ",0.021534931,Industrial Conglomerates,KR,---
,6545464,ADCB,Abu Dhabi Commercial Bank PJSC,42706694,"$92,205,511.12 ",0.021488815,Diversified Banks,AE,---
,B18V863,PNN,Pennon Group plc,6795172,"$92,168,311.47 ",0.021480146,Water Utilities,GB,---
,6673570,IQCD,Industries Qatar QSC,32606459,"$92,116,741.86 ",0.021468128,Industrial Conglomerates,QA,---
,BY9D0Y1,DLG,Direct Line Insurance Group plc,22253121,"$92,074,023.72 ",0.021458172,Property & Casualty Insurance,GB,---
,6897024,7911,Toppan Printing Co. Ltd.,4451448,"$91,959,119.11 ",0.021431393,Commercial Printing,JP,---
,2082567,CIB,Bancolombia SA,1678359,"$91,957,289.61 ",0.021430967,Diversified Banks,CO,ADR
,6916628,2303,United Microelectronics Corp.,167189905,"$91,611,636.78 ",0.021350411,Semiconductors,TW,---
,B0B8Z29,3328,Bank of Communications Co. Ltd.,128337222,"$91,194,368.11 ",0.021253165,Diversified Banks,CN,---
,BDT88L2,RUI,Rubis SCA,1481777,"$91,183,061.67 ",0.02125053,Gas Utilities,FR,---
,B58J1S8,5871,Chailease Holding Co. Ltd.,19747124,"$91,031,061.76 ",0.021215106,Specialized Finance,KY,---
,B05M8B7,LXS,LANXESS AG,1355040,"$90,982,325.41 ",0.021203748,Diversified Chemicals,DE,---
,6985264,7272,Yamaha Motor Co. Ltd.,4531334,"$90,776,149.32 ",0.021155698,Motorcycle Manufacturers,JP,---
,6761000,AMS,Anglo American Platinum Ltd.,974380,"$90,748,660.62 ",0.021149291,Precious Metals & Minerals,ZA,---
,B164FY1,ADP,Aeroports de Paris,457735,"$90,629,009.81 ",0.021121406,Airport Services,FR,---
,6186669,2474,Catcher Technology Co. Ltd.,11956422,"$90,562,842.65 ",0.021105986,"Technology Hardware, Storage & Periphera",TW,---
,B3B8D04,SEV,Suez,5971458,"$90,487,471.95 ",0.02108842,Multi-Utilities,FR,---
,6804400,1803,Shimizu Corp.,8879887,"$90,457,800.10 ",0.021081505,Construction & Engineering,JP,---
,B15SK50,90430,Amorepacific Corp.,525153,"$90,440,251.65 ",0.021077416,Personal Products,KR,---
,6263830,762,China Unicom Hong Kong Ltd.,96027310,"$90,421,307.54 ",0.021073001,Integrated Telecommunication Services,HK,---
,BY7QXS7,VCX,VICINITY CENTRES,51657769,"$90,353,208.09 ",0.02105713,Retail REITs,AU,---
,BKX3XG2,AIA,Auckland International Airport Ltd.,15293518,"$90,146,014.32 ",0.021008843,Airport Services,NZ,---
,6717456,NST,Northern Star Resources Ltd.,11421003,"$90,007,928.33 ",0.020976661,Gold,AU,---
,6416322,9435,Hikari Tsushin Inc.,358040,"$89,974,710.79 ",0.02096892,Computer & Electronics Retail,JP,---
,6472960,J37,Jardine Strategic Holdings Ltd.,2929512,"$89,842,572.50 ",0.020938124,Industrial Conglomerates,BM,---
,6280215,GFI,Gold Fields Ltd.,13162369,"$89,841,854.74 ",0.020937957,Gold,ZA,---
,3127489,MKS,Marks & Spencer Group plc,31666908,"$89,790,844.82 ",0.020926069,Department Stores,GB,---
,6981488,20,Wheelock & Co. Ltd.,13463889,"$89,754,149.49 ",0.020917517,Diversified Real Estate Activites,HK,---
,BDVPYQ8,OMU,Old Mutual Ltd.,64168831,"$89,558,643.28 ",0.020871954,Life & Health Insurance,ZA,---
,6390921,4307,Nomura Research Institute Ltd.,4185182,"$89,504,421.33 ",0.020859317,IT Consulting & Other Services,JP,---
,B3SGMV5,KEY,Keyera Corp.,3415178,"$89,472,377.31 ",0.020851849,Oil & Gas Storage & Transportation,CA,---
,B98XZV9,SGL,Sibanye Gold Ltd.,35001748,"$89,434,642.33 ",0.020843055,Gold,ZA,---
,BYYWPW6,BGNE,BeiGene Ltd.,539262,"$89,388,069.12 ",0.020832201,Biotechnology,KY,ADR
,6331276,8028,FamilyMart Co. Ltd.,3726308,"$89,243,967.16 ",0.020798617,Food Retail,JP,---
,6440859,CPI,Capitec Bank Holdings Ltd.,864310,"$89,230,666.75 ",0.020795518,Diversified Banks,ZA,---
,B0767Y3,SEK,SEEK Ltd.,5627189,"$89,066,025.96 ",0.020757148,Human Resource & Employment Services,AU,---
,6451271,DSCT,Israel Discount Bank Ltd.,19149798,"$88,935,784.39 ",0.020726794,Diversified Banks,IL,---
,4557104,G1A,GEA Group AG,2685980,"$88,904,974.73 ",0.020719614,Industrial Machinery,DE,---
,B63QM77,3659,Nexon Co. Ltd.,6699953,"$88,876,815.53 ",0.020713051,Interactive Home Entertainment,JP,---
,B019MQ5,7747,Asahi Intecc Co. Ltd.,3032004,"$88,780,840.93 ",0.020690684,Health Care Supplies,JP,---
,6758455,7453,Ryohin Keikaku Co. Ltd.,3803626,"$88,648,609.09 ",0.020659867,General Merchandise Stores,JP,---
,6139362,ONGC,Oil & Natural Gas Corp. Ltd.,49085120,"$88,635,512.63 ",0.020656815,Integrated Oil & Gas,IN,---
,5165294,ASM,ASM International NV,785205,"$88,628,403.25 ",0.020655158,Semiconductor Equipment,NL,---
,B012877,PSPN,PSP Swiss Property AG,641809,"$88,617,524.85 ",0.020652623,Real Estate Operating Companies,CH,---
,6051046,2357,Asustek Computer Inc.,11430091,"$88,215,828.14 ",0.020559006,"Technology Hardware, Storage & Periphera",TW,---
,265274,DLN,Derwent London plc,1653169,"$87,970,975.22 ",0.020501942,Office REITs,GB,---
,6303866,S68,Singapore Exchange Ltd.,13334100,"$87,820,193.23 ",0.020466802,Financial Exchanges & Data,SG,---
,B015YX4,MFG,Magellan Financial Group Ltd.,2190942,"$87,780,459.87 ",0.020457542,Asset Management & Custody Banks,AU,---
,BP3R284,601318,Ping An Insurance Group Co. of China Ltd.,7134113,"$87,671,333.76 ",0.02043211,Life & Health Insurance,CN,---
,6881436,SPK,Spark New Zealand Ltd.,30031682,"$87,572,904.70 ",0.02040917,Integrated Telecommunication Services,NZ,---
,BJTM270,2222,Saudi Arabian Oil Co.,9317255,"$87,551,845.69 ",0.020404263,Integrated Oil & Gas,SA,---
,B0FHTN1,UGPA3,Ultrapar Participacoes SA,13744806,"$87,490,912.41 ",0.020390062,Oil & Gas Storage & Transportation,BR,---
,4525189,WRT1V,Wartsila OYJ Abp,7905535,"$87,384,092.01 ",0.020365167,Industrial Machinery,FI,---
,6487425,9009,Keisei Electric Railway Co. Ltd.,2249935,"$87,183,572.46 ",0.020318435,Railroads,JP,---
,BGHWH98,316140,Woori Financial Group Inc.,8703721,"$87,142,049.03 ",0.020308758,Diversified Banks,KR,---
,773960,TPK,Travis Perkins plc,4098534,"$87,057,820.81 ",0.020289128,Trading Companies & Distributors,GB,---
,2849739,ITUB,Itau Unibanco Holding SA,9505237,"$86,972,918.55 ",0.020269342,Diversified Banks,BR,ADR
,6533232,BSL,BlueScope Steel Ltd.,8200331,"$86,855,178.15 ",0.020241902,Steel,AU,---
,B6SR6J5,CPN-F,Central Pattana PCL,41745693,"$86,521,898.62 ",0.02016423,Real Estate Operating Companies,TH,---
,BD2BST6,9142,Kyushu Railway Co.,2582566,"$86,458,128.32 ",0.020149368,Railroads,JP,---
,5554041,SECU B,Securitas AB Class B,5016348,"$86,427,765.89 ",0.020142292,Security & Alarm Services,SE,---
,B3ZCNF7,VIVT4,Telefonica Brasil SA Preference Shares,5978826,"$86,415,539.30 ",0.020139442,Integrated Telecommunication Services,BR,---
,B3SQRQ5,PKI,Parkland Fuel Corp.,2350131,"$86,346,116.83 ",0.020123263,Oil & Gas Refining & Marketing,CA,---
,BRS2KY0,18260,Samsung SDS Co. Ltd.,514146,"$86,286,535.51 ",0.020109378,IT Consulting & Other Services,KR,---
,B0NJJ17,EDF,Electricite de France SA,7714373,"$86,079,505.01 ",0.020061128,Electric Utilities,FR,---
,2840970,CCRO3,CCR SA,18048452,"$85,494,482.73 ",0.019924787,Highways & Railtracks,BR,---
,6496324,7276,Koito Manufacturing Co. Ltd.,1842650,"$85,325,647.96 ",0.019885439,Auto Parts & Equipment,JP,---
,B5BHQP1,SNGS,Surgutneftegas PJSC,104794168,"$85,249,297.61 ",0.019867646,Integrated Oil & Gas,RU,---
,7745638,COV,Covivio,749533,"$85,124,760.67 ",0.019838622,Office REITs,FR,---
,BBD7Q84,2587,Suntory Beverage & Food Ltd.,2038723,"$85,113,966.16 ",0.019836106,Soft Drinks,JP,---
,BGXQNP2,PHNX,Phoenix Group Holdings plc,8565921,"$85,100,255.91 ",0.019832911,Life & Health Insurance,GB,---
,2406457,CEMEXCPO,Cemex SAB de CV,226364165,"$84,763,098.68 ",0.019754335,Construction Materials,MX,---
,BVZHXQ9,HSX,Hiscox Ltd.,4485100,"$84,662,437.57 ",0.019730876,Property & Casualty Insurance,BM,---
,6149457,4967,Kobayashi Pharmaceutical Co. Ltd.,999381,"$84,648,819.61 ",0.019727702,Personal Products,JP,---
,BD9PNF2,ASRNL,ASR Nederland NV,2258552,"$84,640,748.96 ",0.019725821,Multi-line Insurance,NL,---
,6405870,6965,Hamamatsu Photonics KK,2062848,"$84,536,448.30 ",0.019701514,Electronic Components,JP,---
,5140989,OGZD,Gazprom PJSC ADR,10227300,"$84,411,300.47 ",0.019672348,Integrated Oil & Gas,RU,ADR
,BYYT1T6,NIBE B,Nibe Industrier AB,4846901,"$84,090,784.98 ",0.01959765,Building Products,SE,---
,B07KD36,COB,Cobham plc,38590217,"$83,928,513.15 ",0.019559832,Aerospace & Defense,GB,---
,B1W0JF2,998,China CITIC Bank Corp. Ltd.,139906455,"$83,888,757.33 ",0.019550567,Diversified Banks,CN,---
,2659518,ONEX,Onex Corp.,1324698,"$83,824,600.25 ",0.019535615,Multi-Sector Holdings,CA,---
,BYYN701,PST,POSTE ITALIANE SPA,7375462,"$83,806,834.14 ",0.019531475,Life & Health Insurance,IT,---
,B8P4LP4,XRO,Xero Ltd.,1491493,"$83,795,045.07 ",0.019528727,Application Software,NZ,---
,946580,WEIR,Weir Group plc,4186061,"$83,721,702.19 ",0.019511634,Industrial Machinery,GB,---
,6139340,TITAN,Titan Co. Ltd.,5024440,"$83,663,624.77 ",0.019498099,"Apparel, Accessories & Luxury Goods",IN,---
,6641760,2897,Nissin Foods Holdings Co. Ltd.,1123907,"$83,475,690.87 ",0.0194543,Packaged Foods & Meats,JP,---
,6495730,15760,Korea Electric Power Corp.,3476550,"$83,411,451.07 ",0.019439329,Electric Utilities,KR,---
,B2Q14Z3,151,Want Want China Holdings Ltd.,89055722,"$83,183,801.77 ",0.019386275,Packaged Foods & Meats,KY,---
,557681,HWDN,Howden Joinery Group plc,9333003,"$83,150,651.80 ",0.019378549,Trading Companies & Distributors,GB,---
,B6SPB49,6030,CITIC Securities Co. Ltd.,36343414,"$82,914,923.06 ",0.019323612,Investment Banking & Brokerage,CN,---
,2683777,BRDT3,Petrobras Distribuidora SA,11050692,"$82,809,605.23 ",0.019299067,Automotive Retail,BR,---
,B5KQGT3,PCHEM,Petronas Chemicals Group Bhd.,45915903,"$82,515,645.63 ",0.019230559,Commodity Chemicals,MY,---
,BZ4CMZ5,CPR,Davide Campari-Milano SPA,9023959,"$82,454,935.47 ",0.01921641,Distillers & Vintners,IT,---
,2380108,TLEVISACPO,Grupo Televisa SAB,35081118,"$82,324,432.40 ",0.019185996,Cable & Satellite,MX,---
,B5ZQ9D3,EVK,Evonik Industries AG,2694473,"$82,295,851.44 ",0.019179335,Specialty Chemicals,DE,---
,6569527,8252,Marui Group Co. Ltd.,3373097,"$82,244,719.02 ",0.019167418,Department Stores,JP,---
,6136233,1044,Hengan International Group Co. Ltd.,11534706,"$82,162,595.30 ",0.019148279,Personal Products,KY,---
,5474008,BKT,Bankinter SA,11183482,"$82,145,263.61 ",0.01914424,Diversified Banks,ES,---
,B01JCK9,2331,Li Ning Co. Ltd.,27290322,"$81,851,426.75 ",0.01907576,"Apparel, Accessories & Luxury Goods",KY,---
,B2QKWK1,BAJAJFINSV,Bajaj Finserv Ltd.,617851,"$81,346,183.33 ",0.018958011,Multi-line Insurance,IN,---
,BNBNSG0,ENX,Euronext NV,994702,"$81,307,219.30 ",0.018948931,Financial Exchanges & Data,NL,---
,BD1RP61,BIRG,Bank of Ireland Group plc,14752961,"$81,194,822.78 ",0.018922736,Diversified Banks,IE,---
,6218089,992,Lenovo Group Ltd.,120743153,"$81,085,474.63 ",0.018897252,"Technology Hardware, Storage & Periphera",HK,---
,B57JY24,1988,China Minsheng Banking Corp. Ltd.,107118248,"$80,956,961.04 ",0.018867302,Diversified Banks,CN,---
,BZ60N32,SBILIFE,SBI Life Insurance Co. Ltd.,5996203,"$80,818,579.79 ",0.018835051,Life & Health Insurance,IN,---
,6100089,BVT,Bidvest Group Ltd.,5522084,"$80,727,356.74 ",0.018813792,Industrial Conglomerates,ZA,---
,6451680,2887,Taishin Financial Holding Co. Ltd.,166755402,"$80,707,881.48 ",0.018809253,Diversified Banks,TW,---
,B11HK39,NHY,Norsk Hydro ASA,21686172,"$80,642,479.61 ",0.018794011,Aluminum,NO,---
,B17M2Q5,AUB,Ahli United Bank BSC,75639273,"$80,551,307.85 ",0.018772763,Diversified Banks,BH,---
,7538515,TEN,TENARIS SA,7098438,"$80,425,192.26 ",0.018743371,Oil & Gas Equipment & Services,LU,---
,BWFGD63,TECHM,Tech Mahindra Ltd.,7519248,"$80,324,821.03 ",0.018719979,IT Consulting & Other Services,IN,---
,B4V5RY4,SANB11,Banco Santander Brasil SA,6492378,"$80,287,381.68 ",0.018711254,Diversified Banks,BR,---
,240549,SDR,Schroders plc,1815088,"$80,147,799.37 ",0.018678724,Asset Management & Custody Banks,GB,---
,BYNJCV6,207940,Samsung Biologics Co. Ltd.,214561,"$80,069,703.01 ",0.018660523,Life Sciences Tools & Services,KR,---
,B00ZQQ2,SESG,SES SA Class A,5693680,"$80,028,735.89 ",0.018650976,Cable & Satellite,LU,---
,5334588,RHM,Rheinmetall AG,695641,"$79,763,960.48 ",0.018589269,Industrial Conglomerates,DE,---
,B019KW7,SBRY,J Sainsbury plc,26125532,"$79,663,830.60 ",0.018565933,Food Retail,GB,---
,6713982,QIBK,Qatar Islamic Bank SAQ,18910942,"$79,640,343.64 ",0.018560459,Diversified Banks,QA,---
,2516710,LAME4,Lojas Americanas SA Preference Shares,12272065,"$79,477,764.89 ",0.01852257,General Merchandise Stores,BR,---
,B65B4D0,VOD,Vodacom Group Ltd.,9647467,"$79,473,821.66 ",0.018521651,Wireless Telecommunication Services,ZA,---
,6518808,4912,Lion Corp.,4081522,"$79,339,375.17 ",0.018490318,Household Products,JP,---
,B6T5S47,POLY,Polymetal International plc,5011006,"$79,250,006.15 ",0.01846949,Gold,JE,---
,BD2P9X9,KBX,Knorr-Bremse AG,778613,"$79,151,334.71 ",0.018446494,Construction Machinery & Heavy Trucks,DE,---
,6900308,7261,Mazda Motor Corp.,9275462,"$79,040,278.31 ",0.018420612,Automobile Manufacturers,JP,---
,BF0TRG6,HDFCLIFE,HDFC Life Insurance Co. Ltd.,8998347,"$78,955,756.43 ",0.018400914,Life & Health Insurance,IN,---
,B7LV1N0,5876,Shanghai Commercial & Savings Bank Ltd.,45330000,"$78,788,063.17 ",0.018361833,Diversified Banks,TW,---
,BSZ2BY7,ICICIBANK,ICICI Bank Ltd.,10383894,"$78,749,038.09 ",0.018352738,Diversified Banks,IN,---
,6146500,6448,Brother Industries Ltd.,3811578,"$78,721,433.70 ",0.018346304,"Technology Hardware, Storage & Periphera",JP,---
,B128R96,EQTL3,Equatorial Energia SA,13832735,"$78,703,218.21 ",0.018342059,Electric Utilities,BR,---
,692861,UTG,UNITE Group plc,4708976,"$78,659,934.21 ",0.018331972,Residential REITs,GB,---
,BSDHYK1,AC,Air Canada Class B,2104285,"$78,609,884.37 ",0.018320307,Airlines,CA,---
,2669272,PAAS,Pan American Silver Corp.,3310424,"$78,417,190.13 ",0.018275399,Silver,CA,---
,6635677,6723,Renesas Electronics Corp.,11464909,"$78,327,687.44 ",0.01825454,Semiconductors,JP,---
,BB22L96,KGX,KION GROUP AG,1138472,"$78,290,060.40 ",0.018245771,Construction Machinery & Heavy Trucks,DE,---
,6187855,2801,Chang Hwa Commercial Bank Ltd.,102670913,"$77,801,958.94 ",0.018132017,Diversified Banks,TW,---
,BF6RHY2,SIMEPLT,Sime Darby Plantation Bhd.,58322792,"$77,733,242.68 ",0.018116003,Agricultural Products,MY,---
,4490005,KESKOB,Kesko Oyj,1097573,"$77,690,921.40 ",0.01810614,Food Retail,FI,---
,6128605,NESTLEIND,Nestle India Ltd.,374975,"$77,675,320.55 ",0.018102504,Packaged Foods & Meats,IN,---
,6487306,9006,Keikyu Corp.,4023819,"$77,575,040.03 ",0.018079133,Railroads,JP,---
,BFFY885,9143,SG Holdings Co. Ltd.,3434353,"$77,361,487.84 ",0.018029364,Air Freight & Logistics,JP,---
,6487232,9045,Keihan Holdings Co. Ltd.,1592590,"$77,330,723.89 ",0.018022195,Industrial Conglomerates,JP,---
,BNGNB77,MRL,Merlin Properties Socimi SA,5374488,"$77,249,769.09 ",0.018003328,Diversified REITs,ES,---
,BZ3DNX4,LHN,LafargeHolcim Ltd.,1401544,"$77,240,008.38 ",0.018001053,Construction Materials,CH,---
,6657701,3861,Oji Holdings Corp.,14258155,"$77,107,898.26 ",0.017970264,Paper Products,JP,---
,BGM8DW6,HR.UN,H&R REIT,4744285,"$77,089,379.31 ",0.017965948,Diversified REITs,CA,---
,B8KH5G7,X,TMX Group Ltd.,888680,"$76,956,656.27 ",0.017935017,Financial Exchanges & Data,CA,---
,2967084,ELEKTRA*,Grupo Elektra SAB DE CV,1047066,"$76,884,521.02 ",0.017918205,Diversified Banks,MX,---
,B17NY40,ORNBV,Orion Oyj Class B,1659852,"$76,870,842.40 ",0.017915018,Pharmaceuticals,FI,---
,BBGB5W0,GRT,Growthpoint Properties Ltd.,48643681,"$76,842,890.63 ",0.017908503,Diversified REITs,ZA,---
,6309466,8473,SBI Holdings Inc./Japan,3637910,"$76,804,551.77 ",0.017899568,Investment Banking & Brokerage,JP,---
,2645517,GGBR4,Gerdau SA Preference Shares,15366714,"$76,769,890.60 ",0.01789149,Steel,BR,---
,875413,TATE,Tate & Lyle plc,7600390,"$76,580,788.67 ",0.01784742,Packaged Foods & Meats,GB,---
,2100845,CHILE,Banco de Chile,722004677,"$76,553,803.28 ",0.01784113,Diversified Banks,CL,---
,6483746,4613,Kansai Paint Co. Ltd.,3130833,"$76,483,513.98 ",0.017824749,Specialty Chemicals,JP,---
,B0M42T2,EKTA B,Elekta AB Class B,5792579,"$76,422,798.12 ",0.017810599,Health Care Equipment,SE,---
,BK6QWF0,HELN,Helvetia Holding AG,540793,"$76,386,537.45 ",0.017802149,Multi-line Insurance,CH,---
,6895200,9602,Toho Co. Ltd./Tokyo,1831910,"$76,339,661.69 ",0.017791224,Movies & Entertainment,JP,---
,6895266,9506,Tohoku Electric Power Co. Inc.,7694759,"$76,282,682.91 ",0.017777945,Electric Utilities,JP,---
,BZ03TZ1,ALX,Atlas Arteria Ltd.,13852165,"$76,166,109.03 ",0.017750777,Highways & Railtracks,AU,---
,B2Q4CR0,3626,TIS Inc.,1287068,"$76,082,543.59 ",0.017731302,IT Consulting & Other Services,JP,---
,B671GT8,FUNO11,Fibra Uno Administracion SA de CV,49003751,"$75,912,726 ",0.017691725,Diversified REITs,MX,---
,7635610,EMSN,EMS-Chemie Holding AG,115403,"$75,869,984.58 ",0.017681764,Specialty Chemicals,CH,---
,B3FF8W8,6465,Hoshizaki Corp.,848685,"$75,668,890.30 ",0.017634898,Industrial Machinery,JP,---
,BZBZVC7,BPAC11,Banco BTG Pactual SA,3983064,"$75,662,227.63 ",0.017633346,Diversified Capital Markets,BR,---
,6810429,83,Sino Land Co. Ltd.,52060300,"$75,565,990.65 ",0.017610917,Real Estate Development,HK,---
,6446620,9540,Korea Shipbuilding & Offshore Engineering Co. Ltd.,693410,"$75,453,253.85 ",0.017584644,Construction Machinery & Heavy Trucks,KR,---
,6525875,2890,SinoPac Financial Holdings Co. Ltd.,173739200,"$75,371,174.38 ",0.017565515,Diversified Banks,TW,---
,B0MKZN5,3391,Tsuruha Holdings Inc.,586618,"$75,320,593.11 ",0.017553727,Drug Retail,JP,---
,B1VSK54,INDU C,Industrivarden AB,3122951,"$75,311,686.81 ",0.017551651,Multi-Sector Holdings,SE,---
,BDFBM13,981,Semiconductor Manufacturing International Corp.,49063768,"$75,161,862.39 ",0.017516734,Semiconductors,KY,---
,5922961,AFX,Carl Zeiss Meditec AG,590943,"$75,126,653.92 ",0.017508528,Health Care Equipment,DE,---
,6105578,CLS,Clicks Group Ltd.,4092167,"$75,031,863.72 ",0.017486437,Drug Retail,ZA,---
,2387701,AP.UN,Allied Properties REIT,1871049,"$75,026,392.08 ",0.017485162,Office REITs,CA,---
,7302215,CDR,CD PROJEKT SA,1012464,"$74,658,867.59 ",0.017399509,Interactive Home Entertainment,PL,---
,BMTRW10,BME,B&M European Value Retail SA,13745021,"$74,583,830.36 ",0.017382021,General Merchandise Stores,LU,---
,2345390,RBA,Ritchie Bros Auctioneers Inc.,1737661,"$74,561,989.08 ",0.017376931,Diversified Support Services,CA,---
,B5BHR47,SNGSP,Surgutneftegas OAO Preference Shares,122295184,"$74,465,380.57 ",0.017354416,Integrated Oil & Gas,RU,---
,BNCBD46,IMCD,IMCD NV,850418,"$74,460,406.26 ",0.017353257,Trading Companies & Distributors,NL,---
,6431756,2883,China Development Financial Holding Corp.,229191758,"$74,443,017.01 ",0.017349204,Life & Health Insurance,TW,---
,6619507,5333,NGK Insulators Ltd.,4274078,"$74,351,970.05 ",0.017327986,Industrial Machinery,JP,---
,BYYTFB6,HSV,HomeServe plc,4421760,"$74,062,928.80 ",0.017260624,Diversified Support Services,GB,---
,B4PLX17,4938,Pegatron Corp.,32385071,"$74,061,660.58 ",0.017260328,"Technology Hardware, Storage & Periphera",TW,---
,BD97JW7,7186,Concordia Financial Group Ltd.,18016320,"$73,987,547.64 ",0.017243056,Regional Banks,JP,---
,6709958,AMP,AMP Ltd.,54941166,"$73,907,211.60 ",0.017224333,Other Diversified Financial Services,AU,---
,6466457,JGS,JG Summit Holdings Inc.,46338477,"$73,852,057.05 ",0.017211479,Industrial Conglomerates,PH,---
,B23TGR6,817,China Jinmao Holdings Group Ltd.,94860419,"$73,848,122.45 ",0.017210562,Real Estate Development,HK,---
,BBCR9N1,SIM,SimCorp A/S,646255,"$73,529,986.31 ",0.017136419,Application Software,DK,---
,B0DJNG0,LDO,Leonardo SPA,6269206,"$73,521,414.65 ",0.017134422,Aerospace & Defense,IT,---
,6161525,RYM,Ryman Healthcare Ltd.,6685931,"$73,482,296.86 ",0.017125305,Health Care Facilities,NZ,---
,6642804,8036,Hitachi High-Technologies Corp.,1035480,"$73,332,205.89 ",0.017090326,Electronic Equipment & Instruments,JP,---
,B16YNS1,813,Shimao Property Holdings Ltd.,18921578,"$73,328,424.72 ",0.017089445,Real Estate Development,KY,---
,B11WWH2,SCHN,Schindler Holding AG (Registered),299382,"$73,316,349.33 ",0.017086631,Industrial Machinery,CH,---
,6900212,5938,LIXIL Group Corp.,4248274,"$73,311,860.11 ",0.017085584,Building Products,JP,---
,6021500,6770,Alps Alpine Co. Ltd.,3222286,"$73,143,755.31 ",0.017046407,Electronic Components,JP,---
,B2QZGV5,AXIATA,Axiata Group Bhd.,72080635,"$73,012,376.37 ",0.017015789,Wireless Telecommunication Services,MY,---
,6640961,2002,Nisshin Seifun Group Inc.,4180221,"$72,934,244.44 ",0.01699758,Packaged Foods & Meats,JP,---
,BX8ZX20,RBREW,Royal Unibrew A/S,796179,"$72,929,019.02 ",0.016996362,Brewers,DK,---
,B1VSK10,INDU A,Industrivarden AB Class A,2937128,"$72,740,543.74 ",0.016952437,Multi-Sector Holdings,SE,---
,B0LC9F2,BALD B,Fastighets AB Balder Class B,1571300,"$72,721,227.11 ",0.016947935,Real Estate Operating Companies,SE,---
,B5M6XQ7,IAG,International Consolidated Airlines Group SA (London Shares),8784315,"$72,683,409.94 ",0.016939122,Airlines,ES,---
,6173401,21240,Woongjin Coway Co. Ltd.,903846,"$72,664,567.98 ",0.016934731,Household Appliances,KR,---
,6043214,S63,Singapore Technologies Engineering Ltd.,24783617,"$72,582,327.88 ",0.016915564,Aerospace & Defense,SG,---
,BYZR014,AMUN,Amundi SA,922880,"$72,572,411.59 ",0.016913253,Asset Management & Custody Banks,FR,---
,B01FLG6,GFS,G4S plc,25084303,"$72,540,830.13 ",0.016905893,Security & Alarm Services,GB,---
,BZBYJJ7,JSWSTEEL,JSW Steel Ltd.,19111890,"$72,406,960.45 ",0.016874694,Steel,IN,---
,330860,SXS,Spectris plc,1878167,"$72,380,598.48 ",0.016868551,Electronic Equipment & Instruments,GB,---
