lambda,returns
0.0,-0.018722743732334735
0.001,-0.01869533938671647
0.002,-0.0186679350410982
0.003,-0.018640530695479943
0.004,-0.018613126349861685
0.005,-0.018585722004243403
0.006,-0.018558317658625142
0.007,-0.018530913313006863
0.008,-0.01850350896738861
0.009000000000000001,-0.01847610462177034
0.01,-0.018448700276152072
0.011,-0.018421295930533807
0.012,-0.018393891584915535
0.013000000000000001,-0.018366487239297267
0.014,-0.01833908289367901
0.015,-0.018311678548060744
0.016,-0.01828427420244247
0.017,-0.01825686985682421
0.018000000000000002,-0.01822946551120594
0.019,-0.018202061165587678
0.02,-0.018174656819969406
0.021,-0.01814725247435115
0.022,-0.018119848128732872
0.023,-0.01809244378311463
0.024,-0.01806503943749635
0.025,-0.018037635091878088
0.026000000000000002,-0.018010230746259816
0.027,-0.01798282640064154
0.028,-0.01795542205502329
0.029,-0.01792801770940502
0.03,-0.01790061336378675
0.031,-0.017873209018168485
0.032,-0.017845804672550224
0.033,-0.017818400326931952
0.034,-0.01779099598131369
0.035,-0.017763591635695422
0.036000000000000004,-0.017736187290077154
0.037,-0.017708782944458885
0.038,-0.01768137859884062
0.039,-0.017653974253222363
0.04,-0.017626569907604084
0.041,-0.017599165561985826
0.042,-0.017571761216367564
0.043000000000000003,-0.01754435687074929
0.044,-0.017516952525131024
0.045,-0.017489548179512752
0.046,-0.017462143833894498
0.047,-0.01743473948827623
0.048,-0.017407335142657968
0.049,-0.017379930797039693
0.05,-0.017352526451421435
0.051000000000000004,-0.017325122105803167
0.052000000000000005,-0.017297717760184902
0.053,-0.017270313414566626
0.054,-0.017242909068948365
0.055,-0.017215504723330104
0.056,-0.017188100377711842
0.057,-0.017160696032093564
0.058,-0.017133291686475313
0.059000000000000004,-0.01710588734085703
0.06,-0.017078482995238765
0.061,-0.017051078649620507
0.062,-0.017023674304002236
0.063,-0.01699626995838397
0.064,-0.016968865612765702
0.065,-0.01694146126714743
0.066,-0.01691405692152917
0.067,-0.016886652575910915
0.068,-0.016859248230292643
0.069,-0.016831843884674378
0.07,-0.016804439539056103
0.07100000000000001,-0.016777035193437845
0.07200000000000001,-0.01674963084781958
0.073,-0.01672222650220131
0.074,-0.016694822156583047
0.075,-0.01666741781096479
0.076,-0.016640013465346506
0.077,-0.016612609119728255
0.078,-0.016585204774109984
0.079,-0.016557800428491722
0.08,-0.016530396082873457
0.081,-0.016502991737255182
0.082,-0.016475587391636917
0.083,-0.016448183046018652
0.084,-0.016420778700400377
0.085,-0.016393374354782123
0.08600000000000001,-0.016365970009163865
0.08700000000000001,-0.016338565663545586
0.088,-0.01631116131792732
0.089,-0.016283756972309056
0.09,-0.016256352626690788
0.091,-0.016228948281072516
0.092,-0.016201543935454255
0.093,-0.016174139589836
0.094,-0.016146735244217725
0.095,-0.016119330898599463
0.096,-0.01609192655298119
0.097,-0.016064522207362934
0.098,-0.01603711786174466
0.099,-0.016009713516126386
0.1,-0.015982309170508132
0.101,-0.015954904824889853
0.10200000000000001,-0.01592750047927159
0.10300000000000001,-0.015900096133653327
0.10400000000000001,-0.01587269178803507
0.105,-0.015845287442416797
0.106,-0.01581788309679853
0.107,-0.015790478751180257
0.108,-0.015763074405562013
0.109,-0.015735670059943724
0.11,-0.015708265714325473
0.111,-0.0156808613687072
0.112,-0.015653457023088933
0.113,-0.015626052677470668
0.114,-0.01559864833185241
0.115,-0.015571243986234128
0.116,-0.015543839640615875
0.117,-0.015516435294997601
0.11800000000000001,-0.015489030949379347
0.11900000000000001,-0.01546162660376108
0.12,-0.01543422225814281
0.121,-0.015406817912524544
0.122,-0.015379413566906272
0.123,-0.015352009221288007
0.124,-0.015324604875669745
0.125,-0.015297200530051486
0.126,-0.015269796184433205
0.127,-0.015242391838814947
0.128,-0.015214987493196674
0.129,-0.015187583147578407
0.13,-0.015160178801960142
0.131,-0.015132774456341876
0.132,-0.015105370110723604
0.133,-0.015077965765105351
0.134,-0.015050561419487084
0.135,-0.015023157073868811
0.136,-0.014995752728250544
0.137,-0.014968348382632297
0.138,-0.014940944037014016
0.139,-0.014913539691395753
0.14,-0.014886135345777485
0.14100000000000001,-0.014858731000159215
0.14200000000000002,-0.014831326654540948
0.14300000000000002,-0.014803922308922688
0.14400000000000002,-0.014776517963304429
0.145,-0.014749113617686157
0.146,-0.01472170927206789
0.147,-0.014694304926449617
0.148,-0.014666900580831352
0.149,-0.014639496235213092
0.15,-0.014612091889594822
0.151,-0.01458468754397656
0.152,-0.014557283198358285
0.153,-0.014529878852740027
