lambda,returns
0.0,-0.005985974989596552
0.001,-0.005984044181463766
0.002,-0.00598211337333098
0.003,-0.005980182565198189
0.004,-0.005978251757065401
0.005,-0.005976320948932608
0.006,-0.005974390140799825
0.007,-0.00597245933266703
0.008,-0.00597052852453424
0.009000000000000001,-0.00596859771640145
0.01,-0.005966666908268662
0.011,-0.005964736100135876
0.012,-0.005962805292003077
0.013000000000000001,-0.005960874483870282
0.014,-0.0059589436757375045
0.015,-0.005957012867604708
0.016,-0.0059550820594719165
0.017,-0.00595315125133913
0.018000000000000002,-0.00595122044320634
0.019,-0.005949289635073557
0.02,-0.005947358826940757
0.021,-0.005945428018807975
0.022,-0.005943497210675184
0.023,-0.0059415664025423975
0.024,-0.005939635594409601
0.025,-0.005937704786276804
0.026000000000000002,-0.005935773978144027
0.027,-0.005933843170011229
0.028,-0.00593191236187845
0.029,-0.005929981553745666
0.03,-0.005928050745612867
0.031,-0.0059261199374800715
0.032,-0.005924189129347284
0.033,-0.005922258321214497
0.034,-0.005920327513081706
0.035,-0.00591839670494892
0.036000000000000004,-0.005916465896816127
0.037,-0.005914535088683334
0.038,-0.005912604280550541
0.039,-0.005910673472417757
0.04,-0.005908742664284968
0.041,-0.00590681185615218
0.042,-0.005904881048019389
0.043000000000000003,-0.0059029502398866025
0.044,-0.005901019431753804
0.045,-0.00589908862362102
0.046,-0.005897157815488224
0.047,-0.0058952270073554325
0.048,-0.005893296199222657
0.049,-0.005891365391089868
0.05,-0.005889434582957079
0.051000000000000004,-0.0058875037748242825
0.052000000000000005,-0.005885572966691499
0.053,-0.005883642158558709
0.054,-0.005881711350425913
0.055,-0.005879780542293126
0.056,-0.0058778497341603324
0.057,-0.005875918926027539
0.058,-0.0058739881178947635
0.059000000000000004,-0.0058720573097619634
0.06,-0.005870126501629176
0.061,-0.00586819569349638
0.062,-0.005866264885363602
0.063,-0.005864334077230806
0.064,-0.005862403269098013
0.065,-0.005860472460965226
0.066,-0.005858541652832436
0.067,-0.00585661084469965
0.068,-0.005854680036566851
0.069,-0.005852749228434072
0.07,-0.005850818420301282
0.07100000000000001,-0.005848887612168485
0.07200000000000001,-0.005846956804035697
0.073,-0.005845025995902909
0.074,-0.0058430951877701245
0.075,-0.005841164379637341
0.076,-0.005839233571504541
0.077,-0.005837302763371747
0.078,-0.005835371955238953
0.079,-0.0058334411471061675
0.08,-0.005831510338973381
0.081,-0.005829579530840595
0.082,-0.0058276487227077985
0.083,-0.005825717914575015
0.084,-0.0058237871064422235
0.085,-0.005821856298309432
0.08600000000000001,-0.005819925490176651
0.08700000000000001,-0.005817994682043851
0.088,-0.005816063873911057
0.089,-0.005814133065778267
0.09,-0.005812202257645476
0.091,-0.005810271449512695
0.092,-0.0058083406413799036
0.093,-0.005806409833247112
0.094,-0.005804479025114322
0.095,-0.005802548216981533
0.096,-0.005800617408848748
0.097,-0.005798686600715967
0.098,-0.005796755792583163
0.099,-0.005794824984450376
0.1,-0.005792894176317583
0.101,-0.005790963368184793
0.10200000000000001,-0.005789032560051998
0.10300000000000001,-0.005787101751919212
0.10400000000000001,-0.005785170943786425
0.105,-0.005783240135653639
0.106,-0.005781309327520854
0.107,-0.005779378519388059
0.108,-0.005777447711255267
0.109,-0.005775516903122477
0.11,-0.005773586094989688
0.111,-0.0057716552868568895
0.112,-0.005769724478724106
0.113,-0.005767793670591318
0.114,-0.0057658628624585265
0.115,-0.005763932054325734
0.116,-0.005762001246192952
0.117,-0.005760070438060164
0.11800000000000001,-0.005758139629927369
0.11900000000000001,-0.005756208821794581
0.12,-0.005754278013661797
0.121,-0.005752347205529005
0.122,-0.005750416397396209
0.123,-0.005748485589263421
0.124,-0.005746554781130624
0.125,-0.005744623972997842
0.126,-0.005742693164865056
0.127,-0.00574076235673226
0.128,-0.005738831548599477
0.129,-0.005736900740466686
0.13,-0.005734969932333898
0.131,-0.00573303912420111
0.132,-0.00573110831606832
0.133,-0.005729177507935531
0.134,-0.00572724669980274
0.135,-0.005725315891669947
0.136,-0.005723385083537157
0.137,-0.005721454275404366
0.138,-0.005719523467271573
0.139,-0.005717592659138789
0.14,-0.005715661851006002
0.14100000000000001,-0.00571373104287321
0.14200000000000002,-0.0057118002347404185
0.14300000000000002,-0.005709869426607631
0.14400000000000002,-0.005707938618474842
0.145,-0.00570600781034205
