,SEDOL,ticker,name,ESG
1827,6629335,NESTLE,Nestle Malaysia Bhd.,Y
1828,BYMLZD6,ENELCHILE,Enel Chile SA,Y
1829,BFZ5BQ7,IIA,IMMOFINANZ AG,Y
1830,7085259,LUN,H Lundbeck A/S,Y
1831,B53P200,JUP,Jupiter Fund Management plc,Y
1832,BYXL3S6,PLZL,Polyus PJSC GDR,Y
1833,B5B9C59,CHMF,Severstal PJSC,N
1834,B1ZBKY8,MONY,Moneysupermarket.com Group plc,Y
1835,B2QKYZ0,MGNT,Magnit PJSC,N
1836,6491318,148,Kingboard Holdings Ltd.,Y
1837,4058629,GL9,Glanbia plc,Y
1838,BF1KD82,RILBA,Ringkjoebing Landbobank A/S,Y
1839,BDGN274,TEL,PLDT Inc.,Y
1840,7136663,DEC,JCDecaux SA,Y
1841,B012BV2,MSLH,Marshalls plc,Y
1842,B0V3XR5,86280,Hyundai Glovis Co. Ltd.,Y
1843,4612757,OERL,OC Oerlikon Corp. AG,N
1844,B0LX3Y2,ALDAR,ALDAR PROPERTIES PJSC,Y
1845,B607XS1,VET,Vermilion Energy Inc.,N
1846,6100476,HINDPETRO,Hindustan Petroleum Corp. Ltd.,N
1847,BX17Q13,CIM,CIMIC Group Ltd.,Y
1848,B1VXKN7,GENM,Genting Malaysia Bhd.,N
1849,6283601,2408,Nanya Technology Corp.,Y
1850,BG11K36,RDW,Redrow plc,Y
1851,B1VJFK7,PBH,Premium Brands Holdings Corp.,Y
1852,BN791J6,AF B,AF POYRY AB,N
1853,6244675,RHBBANK,RHB Bank Bhd.,Y
1854,B0386J1,JYSK,Jyske Bank A/S,Y
1855,6603038,MFT,Mainfreight Ltd.,Y
1856,6985509,2212,Yamazaki Baking Co. Ltd.,Y
1857,6250821,4631,DIC Corp.,Y
1858,B23DZG0,MULT3,Multiplan Empreendimentos Imobiliarios SA,Y
1859,B27WRM3,3888,Kingsoft Corp. Ltd.,Y
1860,BD1DM79,RWC,Reliance Worldwide Corp. Ltd.,Y
1861,B07SFG7,DMP,Domino's Pizza Enterprises Ltd.,Y
1862,6858991,5110,Sumitomo Rubber Industries Ltd.,Y
1863,B8S8C94,CSH.UN,Chartwell Retirement Residences,Y
1864,7371431,INTRUM,Intrum AB,Y
1865,6242260,C07,Jardine Cycle & Carriage Ltd.,N
1866,5485527,NDA,Aurubis AG,Y
1867,B11WFP1,KCR,Konecranes Oyj Class A,N
1868,B682TF7,139480,E-MART Inc.,N
1869,6327587,268,Kingdee International Software Group Co. Ltd.,Y
1870,BQGZWP9,HAVELLS,Havells India Ltd.,Y
1871,6441465,4088,Air Water Inc.,Y
1872,6858474,9719,SCSK Corp.,Y
1873,7050417,DOKA,dormakaba Holding AG,Y
1874,B1S34K5,MARICO,Marico Ltd.,Y
1875,6776781,5929,Sanwa Holdings Corp.,Y
1876,B6463M8,ARX,ARC Resources Ltd.,N
1877,B7311V6,KLBF,Kalbe Farma Tbk PT,Y
1878,6416139,144,China Merchants Port Holdings Co. Ltd.,N
1879,BKSLS55,FCR.UN,First Capital REIT,Y
1880,B092QP3,200,Melco International Development Ltd.,N
1881,3169889,WMH,William Hill plc,N
1882,2188283,CWB,Canadian Western Bank,Y
1883,B4LHBQ0,QUAL3,Qualicorp Consultoria e Corretora de Seguros SA,Y
1884,7184736,UHRN,Swatch Group AG (Registered),N
1885,B011108,CIPLA,Cipla Ltd./India,Y
1886,6408352,10,Hang Lung Group Ltd.,Y
1887,6482668,9364,Kamigumi Co. Ltd.,N
1888,B1N7Z09,SAFE,Safestore Holdings plc,Y
1889,5579107,ANA,Acciona SA,N
1890,6574101,2337,Macronix International,Y
1891,4449137,HUFV A,Hufvudstaden AB Class A,Y
1892,BPXR7J0,AST,AusNet Services,Y
1893,B0B8Z41,LTS,Grupa Lotos SA,N
1894,6253132,7458,Daiichikosho Co. Ltd.,Y
1895,B09QQ11,AMBUJACEM,Ambuja Cements Ltd.,Y
1896,B2NT8S1,8410,Seven Bank Ltd.,Y
1897,6566614,QEWS,Qatar Electricity & Water Co. QSC,N
1898,B037JC2,NXI,Nexity SA,Y
1899,6910705,4208,Ube Industries Ltd.,N
1900,BH3T8K8,ORBIA*,Orbia Advance Corp. SAB de CV,Y
1901,B92NYF2,6881,China Galaxy Securities Co. Ltd.,Y
1902,BF1HPT8,3563,Sushiro Global Holdings Ltd.,Y
1903,3023231,PAGE,Pagegroup plc,Y
1904,BD1WX84,EGIE3,Engie Brasil Energia SA,Y
1905,B0H72C9,BTS-R,BTS Group Holdings PCL,N
1906,BP3R2B7,600000,Shanghai Pudong Development Bank Co. Ltd.,N
1907,B7T5KQ0,161390,Hankook Tire & Technology Co. Ltd.,Y
1908,B1685L0,NAUKRI,Info Edge India Ltd.,Y
1909,BJYRDP5,GTT,Gaztransport Et Technigaz SA,Y
1910,B92MT10,7164,Zenkoku Hosho Co. Ltd.,N
1911,B01SCS4,BRAP4,Bradespar SA Preference Shares,Y
1912,6581930,LH-F,Land & Houses PCL,N
1913,7243530,BELA,JUMBO SA,Y
1914,6042608,7550,Zensho Holdings Co. Ltd.,Y
1915,BYZJV17,2588,BOC Aviation Ltd.,Y
1916,B1XF882,BOKA,Boskalis Westminster,Y
1917,B2PFVH7,1186,China Railway Construction Corp. Ltd.,N
1918,BZ6T5C2,SOI,SOITEC,Y
1919,BM7S7K9,OSB,OneSavings Bank plc,Y
1920,B2NR3Y6,880,SJM Holdings Ltd.,N
1921,6372167,9921,Giant Manufacturing Co. Ltd.,Y
1922,B8HX8Z8,MDC,MEDICLINIC INTERNATIONAL PLC,Y
1923,4916039,AF,Air France-KLM,Y
1924,6439567,IGO,Independence Group NL,Y
1925,6534202,8905,Aeon Mall Co. Ltd.,Y
1926,B0PR2F4,3383,Agile Group Holdings Ltd.,Y
1927,6249584,210,Daelim Industrial Co. Ltd.,N
1928,6767202,9003,Sotetsu Holdings Inc.,Y
1929,B4Q2TX3,916,China Longyuan Power Group Corp. Ltd.,Y
1930,6155937,5830,DB Insurance Co. Ltd.,Y
1931,6036548,7518,NET One Systems Co. Ltd.,Y
1932,BYZBCY3,LNK,Link Administration Holdings Ltd.,Y
1933,BF0B2F6,GOOS,Canada Goose Holdings Inc.,Y
1934,969703,BAB,Babcock International Group plc,N
1935,6640422,4272,Nippon Kayaku Co. Ltd.,Y
1936,B4PFFW4,1913,PRADA SPA,Y
1937,B291WY5,DPW,DP WORLD PLC,Y
1938,7240371,BILL,BillerudKorsnas AB,Y
1939,BHWV258,NENT B,Nordic Entertainment Group AB Class B,Y
1940,B94P973,TOP,Topdanmark A/S,Y
1941,5638280,VIS,VISCOFAN SA,Y
1942,2393388,PINFRA*,Promotora y Operadora de Infraestructura SAB de CV,N
1943,6408448,16360,Samsung Securities Co. Ltd.,Y
1944,2135450,NG,NovaGold Resources Inc.,Y
1945,6305721,3044,Tripod Technology Corp.,Y
1946,6359881,GAMUDA,Gamuda Bhd.,Y
1947,BF5GLW6,CJLU,NetLink NBN Trust,Y
1948,BYY5978,WAF,Siltronic AG,Y
1949,BYXL8H0,ICICIPRULI,ICICI Prudential Life Insurance Co. Ltd.,Y
1950,6602518,DIVISLAB,Divi's Laboratories Ltd.,Y
1951,B142FZ8,JM,JM AB,Y
1952,6492924,1944,Kinden Corp.,N
1953,6586537,551,Yue Yuen Industrial Holdings Ltd.,Y
1954,6639970,6849,Nihon Kohden Corp.,Y
1955,B0PYHC7,LRE,Lancashire Holdings Ltd.,Y
1956,BZ169C6,3908,China International Capital Corp. Ltd.,N
1957,4783211,IRE,Iren SPA,Y
1958,6099671,902,Huaneng Power International Inc.,N
1959,2392545,GRUMAB,Gruma SAB de CV Class B,N
1960,6027304,6436,Amano Corp.,N
1961,B67G5X0,WKP,Workspace Group plc,Y
1962,6887887,TMB-F,TMB Bank PCL,Y
1963,2823885,AC*,Arca Continental SAB de CV,Y
1964,6665931,2790,AMOREPACIFIC Group,Y
1965,BD4TZK8,OCI,OCI NV,Y
1966,BGHH0L6,2359,WuXi AppTec Co. Ltd.,Y
1967,6076243,BOQ,Bank of Queensland Ltd.,Y
1968,BF0J5S4,PMETAL,Press Metal Aluminium Holdings Bhd.,Y
1969,6461850,4020,Hyundai Steel Co.,Y
1970,B0LKSK4,TNET,Telenet Group Holding NV,Y
1971,BYM8GJ0,ASCL,Ascential plc,Y
1972,6986461,5101,Yokohama Rubber Co. Ltd.,Y
1973,2901628,TA,TransAlta Corp.,N
1974,B02TT74,JOBS,51job Inc.,N
1975,2718301,SQM-B,Sociedad Quimica y Minera de Chile SA Preference Shares Class B,Y
1976,BD73C40,IVN,Ivanhoe Mines Ltd.,Y
1977,B00KT68,PETRONET,Petronet LNG Ltd.,Y
1978,6070706,BRPT,Barito Pacific Tbk PT,Y
1979,6793423,9076,Seino Holdings Co. Ltd.,N
1980,7380062,ARL,Aareal Bank AG,Y
1981,BGY6SV2,1359,China Cinda Asset Management Co. Ltd.,Y
1982,B03MS97,EREGL,Eregli Demir ve Celik Fabrikalari TAS,Y
1983,BYM6917,PBB,Deutsche Pfandbriefbank AG,Y
1984,6858861,1911,Sumitomo Forestry Co. Ltd.,Y
1985,472609,SPT,Spirent Communications plc,N
1986,7123104,VONN,Vontobel Holding AG,Y
1987,6642688,8056,Nihon Unisys Ltd.,Y
1988,B28ZM60,NHF,nib holdings Ltd./Australia,Y
1989,6636421,NTC,Netcare Ltd.,Y
1990,B6V94F0,1030,Seazen Group Ltd.,Y
1991,BZ0CT92,PNDX B,Pandox AB Class B,Y
1992,2419927,CUF.UN,Cominar REIT,Y
1993,345217,FGP,Firstgroup plc,Y
1994,BJGS0Q6,3883,China Aoyuan Group Ltd.,Y
1995,B7FC076,NMC,NMC Health plc,Y
1996,2069355,BCI,Banco de Credito e Inversiones SA,Y
1997,6040958,AVI,AVI Ltd.,Y
1998,6133450,2377,Micro-Star International Co. Ltd.,Y
1999,BZ404X1,LATO B,Investment AB Latour,Y
2000,6098816,2834,Taiwan Business Bank,Y
2001,B2QPJK5,HARTA,Hartalega Holdings Bhd.,Y
2002,B57Q8S9,PVG,Pretium Resources Inc.,Y
2003,4407760,PEAB B,Peab AB Class B,Y
2004,B0L9113,PGN,Polskie Gornictwo Naftowe i Gazownictwo SA,N
2005,B04M8J6,EURN,Euronav NV,Y
2006,6470588,4114,Nippon Shokubai Co. Ltd.,Y
2007,B12W4C0,KLED,Kungsleden AB,Y
2008,B135BJ4,SVS,Savills plc,Y
2009,B3S3S52,SAX,Stroeer SE & Co. KGaA,Y
2010,2833583,FR,First Majestic Silver Corp.,Y
2011,4854719,SUN,Sulzer AG,N
2012,B63DLB5,3360,Far East Horizon Ltd.,Y
2013,5263574,FLS,FLSmidth & Co. A/S,N
2014,4409205,FIE,Fielmann AG,N
2015,6568353,659,NWS Holdings Ltd.,Y
2016,B40JTQ3,SRBANK,SpareBank 1 SR-Bank ASA,Y
2017,B0P6L87,3702,WPG Holdings Ltd.,Y
2018,BYN5913,DOM,Domino's Pizza Group plc,Y
2019,BDVLJ72,271560,Orion Corp./Republic of Korea,N
2020,B058J56,PEL,Piramal Enterprises Ltd.,Y
2021,B12LZP7,1140,Bank AlBilad,N
2022,7391763,SFZN,Siegfried Holding AG,Y
2023,B3S98W7,138930,BNK Financial Group Inc.,Y
2024,B4WTBY3,958,Huaneng Renewables Corp. Ltd.,Y
2025,B05L892,TOPGLOV,Top Glove Corp. Bhd.,Y
2026,6571544,QIIK,Qatar International Islamic Bank QSC,Y
2027,6225476,CMW,Cromwell Property Group,Y
2028,BJVBTY1,152,Shenzhen International Holdings Ltd.,Y
2029,BZ1DP29,BRAV,Bravida Holding AB,Y
2030,BN85P68,KXS,Kinaxis Inc.,Y
2031,BD3CQ16,MONET,Moneta Money Bank AS,N
2032,BXVMBK2,WALL B,Wallenstam AB,Y
2033,B71QPM2,DKSH,DKSH Holding AG,Y
2034,5772627,COK,CANCOM SE,Y
2035,BCT5FD7,SDF,Steadfast Group Ltd.,Y
2036,6400626,8359,Hachijuni Bank Ltd.,Y
2037,B7VG6L8,O2D,Telefonica Deutschland Holding AG,Y
2038,912332,ULE,Ultra Electronics Holdings plc,N
2039,6743990,MOTHERSUMI,Motherson Sumi Systems Ltd.,Y
2040,6906919,4540,Tsumura & Co.,Y
2041,B0BV896,MOBN,Mobimo Holding AG,Y
2042,2308445,ELET6,Centrais Eletricas Brasileiras SA Preference Shares,N
2043,2189855,CYRE3,Cyrela Brazil Realty SA Empreendimentos e Participacoes,Y
2044,BWX43T2,GPSC-F,Global Power Synergy PCL,Y
2045,4116099,BPE,BPER Banca,Y
2046,B29TTR1,SIME,Sime Darby Bhd.,Y
2047,7127979,LPP,LPP SA,Y
2048,B4Y7R14,DC.,Dixons Carphone plc,Y
2049,6551030,6592,Mabuchi Motor Co. Ltd.,N
2050,B2QRCM4,CPS,Cyfrowy Polsat SA,Y
2051,B3KFW76,TISCO-F,Tisco Financial Group PCL (Foreign),Y
2052,BD9Q2J2,1548,Genscript Biotech Corp.,Y
2053,B19H8Y8,2777,Guangzhou R&F Properties Co. Ltd.,N
2054,BH3SX44,MAS,Masmovil Ibercom SA,Y
2055,B128FM5,4190,Jarir Marketing Co.,N
2056,6966515,2344,Winbond Electronics Corp.,Y
2057,BF7LBH4,CRFB3,Atacadao SA,Y
2058,6602604,2201,Morinaga & Co. Ltd./Japan,Y
2059,B01ZVZ5,ACX,Acerinox SA,Y
2060,BYQ8KW7,CWY,Cleanaway Waste Management Ltd.,Y
2061,B29T1W0,1414,SHO-BOND Holdings Co. Ltd.,N
2062,5802449,VAR1,Varta AG,Y
2063,6079792,4686,Justsystems Corp.,N
2064,6480770,2811,Kagome Co. Ltd.,Y
2065,6988337,100,Yuhan Corp.,Y
2066,B3N3363,47810,Korea Aerospace Industries Ltd.,N
2067,B1YLCV0,DLF,DLF Ltd.,Y
2068,B8F0TD6,TLX,Talanx AG,Y
2069,B1BK209,RRTL,RTL Group SA,Y
2070,6894003,5301,Tokai Carbon Co. Ltd.,Y
2071,6599483,6728,Ulvac Inc.,Y
2072,6714394,IFL,IOOF Holdings Ltd.,Y
2073,BH4DMW9,6415,Silergy Corp.,Y
2074,BYZDVK8,SCT,Softcat plc,Y
2075,6486314,683,Kerry Properties Ltd.,Y
2076,BW4NKK8,1776,GF Securities Co. Ltd.,N
2077,B04KNF1,753,Air China Ltd.,Y
2078,B18RC03,2492,Infomart Corp.,N
2079,6212100,2360,Chroma ATE Inc.,Y
2080,BFM0SV9,NDA FI,Nordea Bank Abp,Y
2081,6259011,7649,Sugi Holdings Co. Ltd.,Y
2082,6481643,4521,Kaken Pharmaceutical Co. Ltd.,Y
2083,B12LR51,7020,Etihad Etisalat Co.,N
2084,6121927,9783,Benesse Holdings Inc.,Y
2085,BXRTNW3,HEMF,HEMFOSA FASTIGHETER AB,Y
2086,B17H3F6,SSAB B,SSAB AB Class B,Y
2087,6133405,GAIL,GAIL India Ltd.,N
2088,BJ62LW1,PFBCOLOM,Bancolombia SA Preference Shares,Y
2089,B12RQH4,K71U,Keppel REIT,Y
2090,B613DJ9,128940,Hanmi Pharm Co. Ltd.,N
2091,B2NGPM5,PAG,Paragon Banking Group plc,Y
2092,BM677T6,APPS,Applus Services SA,N
2093,2380573,GC,Great Canadian Gaming Corp.,N
2094,6273583,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Y
2095,6037734,8570,AEON Financial Service Co. Ltd.,Y
2096,6047023,AMBANK,AMMB Holdings Bhd.,Y
2097,BG087C6,ETE,National Bank of Greece SA,Y
2098,B59GLW2,MGNT,Magnit PJSC,Y
2099,B4P0G71,CNU,Chorus Ltd.,N
2100,BT9Q186,AJBU,Keppel DC REIT,Y
2101,B292RC1,3092,ZOZO Inc.,Y
2102,BFXQ9F7,BEIJ B,Beijer Ref AB,Y
2103,6900557,7282,Toyoda Gosei Co. Ltd.,N
2104,B4LD3M8,ICBP,Indofood CBP Sukses Makmur Tbk PT,Y
2105,B1HKSV6,BGN,Banca Generali SPA,Y
2106,B15T569,SIEMENS,Siemens Ltd.,N
2107,B87GTZ4,RW0U,Mapletree North Asia Commercial Trust,Y
2108,BFT7KB7,FEDERALBNK,Federal Bank Ltd.,Y
