Date,Adj Close
2019/2/19,15.611976
2019/2/20,15.573163
2019/2/21,15.747815
2019/2/22,15.835143
2019/2/25,16.26207
2019/2/26,16.30088
2019/2/27,16.203854
2019/2/28,15.893357
2019/3/1,15.893357
2019/3/4,15.679895
2019/3/5,15.660489
2019/3/6,15.485838
2019/3/7,15.204453
2019/3/8,15.146235
2019/3/11,15.417917
2019/3/12,14.961072
2019/3/13,15.166286
2019/3/14,15.303094
2019/3/15,15.703751
2019/3/18,15.478992
2019/3/19,15.518081
2019/3/20,15.508307
2019/3/21,15.654891
2019/3/22,14.941526
2019/3/25,14.804718
2019/3/26,14.961072
2019/3/27,14.912211
2019/3/28,14.912211
2019/3/29,15.078338
2019/4/1,15.537625
2019/4/2,15.459448
2019/4/3,15.488765
2019/4/4,15.703751
2019/4/5,15.781927
2019/4/8,15.821017
2019/4/9,15.586485
2019/4/10,15.899194
2019/4/11,15.899194
2019/4/12,16.02623
2019/4/15,16.114178
2019/4/16,16.22167
2019/4/17,16.192354
2019/4/18,16.280304
2019/4/22,16.211901
2019/4/23,16.153267
2019/4/24,15.899194
2019/4/25,15.645119
2019/4/26,15.410588
2019/4/29,15.351954
2019/4/30,15.449677
2019/5/1,15.430132
2019/5/2,15.381271
2019/5/3,15.566941
2019/5/6,15.303094
2019/5/7,15.078338
2019/5/8,15.00016
2019/5/9,14.873124
2019/5/10,14.452923
2019/5/13,13.837282
2019/5/14,13.915458
2019/5/15,14.091355
2019/5/16,14.198849
2019/5/17,14.286798
2019/5/20,14.413834
2019/5/21,14.902439
2019/5/22,14.374745
2019/5/23,13.993635
2019/5/24,14.062039
2019/5/28,13.847053
2019/5/29,13.807964
2019/5/30,13.895914
2019/5/31,13.40731
2019/6/3,13.377992
2019/6/4,13.807964
2019/6/5,13.768877
2019/6/6,13.671156
2019/6/7,13.768877
2019/6/10,13.935002
2019/6/11,14.045813
2019/6/12,13.927615
2019/6/13,14.134461
2019/6/14,13.937465
2019/6/17,14.085212
2019/6/18,14.370855
2019/6/19,14.489053
2019/6/20,14.774697
2019/6/21,14.715598
2019/6/24,14.784548
2019/6/25,14.538302
2019/6/26,14.735298
2019/6/27,14.745148
2019/6/28,14.725449
2019/7/1,14.912595
2019/7/2,14.853496
2019/7/3,15.060341
2019/7/5,14.942144
2019/7/8,14.804247
2019/7/9,14.64665
2019/7/10,14.548153
2019/7/11,14.380706
2019/7/12,14.686049
2019/7/15,14.735298
2019/7/16,14.587551
2019/7/17,14.469354
2019/7/18,14.528452
2019/7/19,14.617101
2019/7/22,14.085212
2019/7/23,14.390555
2019/7/24,14.518603
2019/7/25,14.292058
2019/7/26,14.410255
2019/7/29,14.439804
2019/7/30,14.390555
2019/7/31,14.15416
2019/8/1,13.927615
2019/8/2,13.070683
2019/8/5,12.70624
2019/8/6,12.873686
2019/8/7,12.863837
2019/8/8,13.346477
2019/8/9,13.18888
2019/8/12,12.883536
2019/8/13,13.19873
2019/8/14,12.666841
2019/8/15,12.489544
2019/8/16,12.607742
2019/8/19,12.913085
2019/8/20,12.745638
2019/8/21,12.873686
2019/8/22,13.050983
2019/8/23,12.558493
2019/8/26,12.745638
2019/8/27,12.73579
2019/8/28,13.16918
2019/8/29,13.474524
2019/8/30,13.612421
2019/9/3,13.287377
2019/9/4,13.543472
2019/9/5,14.183709
2019/9/6,14.351156
2019/9/9,14.725449
2019/9/10,14.976042
2019/9/11,15.253927
2019/9/12,15.244002
2019/9/13,15.204305
2019/9/16,15.005816
2019/9/17,14.876797
2019/9/18,14.628685
2019/9/19,14.737855
2019/9/20,14.321026
2019/9/23,14.291252
2019/9/24,14.142385
2019/9/25,14.479817
2019/9/26,14.519516
2019/9/27,14.886722
2019/9/30,15.055438
2019/10/1,14.539364
2019/10/2,14.33095
2019/10/3,14.390497
2019/10/4,14.291252
2019/10/7,14.241631
2019/10/8,13.745406
2019/10/9,13.963744
2019/10/10,14.003442
2019/10/11,14.241631
2019/10/14,14.837099
2019/10/15,15.025664
2019/10/16,14.976042
2019/10/17,15.095136
2019/10/18,15.234078
2019/10/21,15.849397
2019/10/22,15.829547
2019/10/23,15.899019
2019/10/24,15.77
2019/10/25,16.037962
2019/10/28,16.305922
2019/10/29,16.335695
2019/10/30,16.186829
2019/10/31,16.286074
2019/11/1,16.375393
2019/11/4,16.52426
2019/11/5,16.702902
2019/11/6,16.812071
2019/11/7,17.050259
2019/11/8,17.29837
2019/11/11,17.328142
2019/11/12,17.209049
2019/11/13,17.09988
2019/11/14,16.901392
2019/11/15,17.09988
2019/11/18,17.149504
2019/11/19,17.308294
2019/11/20,16.990711
2019/11/21,16.951014
2019/11/22,16.990711
2019/11/25,17.31822
2019/11/26,15.849397
2019/11/27,15.819622
2019/11/29,15.710453
2019/12/2,15.640982
2019/12/3,15.492114
2019/12/4,15.621133
2019/12/5,15.809698
2019/12/6,15.789849
2019/12/9,15.77
2019/12/10,15.84
2019/12/11,15.87
2019/12/12,16.4
2019/12/13,16.030001
2019/12/16,16.08
2019/12/17,15.84
2019/12/18,15.91
2019/12/19,15.74
2019/12/20,15.58
2019/12/23,15.84
2019/12/24,15.92
2019/12/26,15.96
2019/12/27,15.9
2019/12/30,15.78
2019/12/31,15.86
2020/1/2,16.17
2020/1/3,15.77
2020/1/6,15.72
2020/1/7,15.64
2020/1/8,15.76
2020/1/9,15.67
2020/1/10,15.47
2020/1/13,15.55
2020/1/14,15.54
2020/1/15,15.49
2020/1/16,15.77
2020/1/17,15.1
2020/1/21,14.9
2020/1/22,15.03
2020/1/23,15.16
2020/1/24,14.76
2020/1/27,14.52
2020/1/28,14.62
2020/1/29,14.42
2020/1/30,14.42
2020/1/31,13.93
2020/2/3,14.14
2020/2/4,14.42
2020/2/5,14.89
2020/2/6,14.92
2020/2/7,14.74
2020/2/10,14.77
2020/2/11,14.87
2020/2/12,15.03
2020/2/13,14.7
2020/2/14,14.44
2020/2/18,14.38
